OPP,Result,T Score,LAST_N_3PTM,LAST_N_PTS,SEASON_AVG,PTS,ORDER
UTA,0,94,4.0,42.0,42.0,17,12
OKC,1,120,2.5,29.5,29.5,25,23
LAC,0,104,2.6666666666666665,28.0,28.0,29,15
MIN,1,116,3.25,28.25,28.25,27,21
WSH,0,94,3.2,28.0,28.0,27,27
TOR,1,113,3.1666666666666665,27.83333333333333,27.83333333333333,29,28
NYK,1,128,3.4285714285714284,28.0,28.0,15,24
UTA,0,104,3.125,26.375,26.375,15,12
LAC,1,121,2.888888888888889,25.11111111111111,25.11111111111111,18,15
DAL,0,90,2.6666666666666665,22.444444444444443,24.4,17,13
MEM,1,128,2.888888888888889,22.444444444444443,23.727272727272727,30,16
PHX,0,131,3.0,23.0,24.25,14,4
MEM,0,107,2.6666666666666665,21.33333333333333,23.46153846153846,9,16
LAL,0,121,2.4444444444444446,19.33333333333333,22.428571428571427,29,3
TOR,1,124,2.6666666666666665,19.55555555555556,22.866666666666667,35,28
POR,0,105,2.6666666666666665,20.22222222222222,23.625,15,29
NOP,0,131,2.7777777777777777,20.22222222222222,23.11764705882353,12,26
CHA,0,90,2.888888888888889,19.88888888888889,22.5,25,25
ATL,0,122,3.111111111111111,20.666666666666668,22.63157894736842,31,7
ORL,0,90,3.333333333333333,22.22222222222222,23.05,9,20
MIA,0,106,3.0,19.88888888888889,22.38095238095238,18,22
DET,1,95,3.111111111111111,20.33333333333333,22.181818181818183,27,9
DEN,0,112,3.333333333333333,22.33333333333333,22.39130434782609,30,11
PHI,0,102,3.0,22.444444444444443,22.70833333333333,17,10
ATL,1,108,2.555555555555556,20.444444444444443,22.48,32,7
UTA,0,89,2.4444444444444446,22.33333333333333,22.846153846153847,13,12
SAC,1,130,2.555555555555556,22.444444444444443,22.48148148148148,24,8
LAL,0,94,2.2222222222222223,22.33333333333333,22.535714285714285,11,3
LAC,1,132,1.7777777777777777,20.11111111111111,22.13793103448276,36,15
DAL,0,117,2.4444444444444446,23.11111111111111,22.6,25,13
OKC,0,95,2.2222222222222223,23.88888888888889,22.677419354838708,23,23
DAL,0,101,2.2222222222222223,23.444444444444443,22.6875,6,13
HOU,0,97,2.0,20.77777777777778,22.181818181818183,14,14
OKC,0,104,2.111111111111111,20.444444444444443,21.94117647058824,14,23
CHA,0,110,2.2222222222222223,18.444444444444443,21.714285714285715,22,25
NOP,0,110,2.111111111111111,19.444444444444443,21.72222222222222,15,26
SAC,0,96,2.111111111111111,18.444444444444443,21.54054054054054,27,8
PHX,0,103,2.333333333333333,20.22222222222222,21.68421052631579,25,4
BKN,1,111,2.0,19.0,21.76923076923077,32,19
DEN,0,118,2.2222222222222223,19.77777777777778,22.025,15,11
CHI,1,114,2.2222222222222223,18.88888888888889,21.853658536585368,26,5
MIL,0,104,2.7777777777777777,21.11111111111111,21.952380952380956,18,2
MIA,0,102,2.6666666666666665,21.55555555555556,21.86046511627907,9,22
CLE,0,114,2.7777777777777777,21.0,21.568181818181817,21,17
SAC,1,108,2.6666666666666665,20.88888888888889,21.55555555555556,12,8
MIN,1,107,2.6666666666666665,20.55555555555556,21.347826086956523,16,21
DEN,0,122,2.333333333333333,19.33333333333333,21.23404255319149,26,11
POR,0,89,2.555555555555556,19.444444444444443,21.33333333333333,9,29
LAL,0,118,2.333333333333333,16.88888888888889,21.081632653061224,15,3
PHX,1,132,2.0,16.88888888888889,20.96,13,4
NOP,0,102,1.7777777777777777,15.444444444444445,20.80392156862745,17,26
MEM,0,108,2.0,15.333333333333334,20.73076923076923,14,16
WSH,0,109,1.8888888888888888,15.88888888888889,20.60377358490566,27,27
SAS,0,91,2.333333333333333,16.555555555555557,20.72222222222222,8,6
PHI,0,101,2.2222222222222223,16.11111111111111,20.49090909090909,14,10
DET,0,95,2.333333333333333,15.88888888888889,20.375,19,9
CHI,0,91,2.0,15.11111111111111,20.350877192982452,6,5
BKN,1,105,1.8888888888888888,14.77777777777778,20.103448275862068,14,19
OKC,0,88,2.0,14.666666666666666,20.0,22,23
ORL,0,118,1.8888888888888888,15.666666666666666,20.03333333333333,13,20
HOU,0,109,1.5555555555555556,15.22222222222222,19.918032786885245,11,14
DEN,0,107,1.4444444444444444,14.88888888888889,19.774193548387096,10,11
IND,1,126,1.1111111111111112,13.0,19.61904761904762,7,1
LAL,0,97,1.2222222222222223,12.88888888888889,19.421875,13,3
SAS,0,104,1.2222222222222223,12.77777777777778,19.32307692307692,11,6
DAL,1,111,1.0,11.88888888888889,19.196969696969692,18,13
POR,1,108,1.2222222222222223,13.22222222222222,19.17910447761194,12,29
BOS,0,95,1.3333333333333333,13.0,19.073529411764707,13,18
CLE,0,108,1.2222222222222223,12.0,18.98550724637681,14,17
MIL,0,125,1.4444444444444444,12.11111111111111,18.914285714285715,14,2
IND,0,94,1.5555555555555556,12.444444444444445,18.84507042253521,6,1
MIN,1,146,1.3333333333333333,12.0,18.666666666666668,8,21
SAC,0,107,1.3333333333333333,12.11111111111111,18.52054794520548,9,8
LAC,0,90,1.3333333333333333,11.666666666666666,18.39189189189189,5,15
MEM,1,113,1.2222222222222223,11.0,18.21333333333333,7,16
PHX,0,101,1.1111111111111112,9.77777777777778,18.06578947368421,12,4
HOU,0,107,1.1111111111111112,9.77777777777778,17.98701298701299,14,14
DEN,0,111,2.0,18.0,18.0,27,11
SAC,0,103,2.5,22.5,22.5,27,8
LAL,1,95,2.6666666666666665,24.0,24.0,20,3
POR,1,108,2.5,23.0,23.0,28,29
DAL,1,99,2.6,24.0,24.0,12,13
MEM,0,91,2.333333333333333,22.0,22.0,6,16
OKC,0,114,2.142857142857143,19.714285714285715,19.714285714285715,35,23
WSH,1,114,2.5,21.625,21.625,10,27
TOR,1,138,2.333333333333333,20.33333333333333,20.33333333333333,23,28
HOU,0,112,2.555555555555556,20.88888888888889,20.6,16,14
SAS,0,96,2.4444444444444446,19.666666666666668,20.181818181818183,8,6
DAL,0,73,2.2222222222222223,17.555555555555557,19.166666666666668,11,13
PHX,0,97,2.111111111111111,16.555555555555557,18.53846153846154,15,4
DAL,0,106,2.0,15.11111111111111,18.285714285714285,10,13
SAC,0,119,2.111111111111111,14.88888888888889,17.733333333333334,19,8
MIN,1,100,2.555555555555556,16.333333333333332,17.8125,24,21
ORL,1,123,2.4444444444444446,15.11111111111111,18.176470588235293,22,20
BKN,0,90,2.7777777777777777,16.444444444444443,18.38888888888889,15,19
CLE,1,95,2.555555555555556,15.555555555555555,18.210526315789476,23,17
PHI,0,117,2.555555555555556,16.333333333333332,18.45,22,10
BOS,0,103,2.555555555555556,17.88888888888889,18.61904761904762,9,18
WSH,1,106,2.555555555555556,17.666666666666668,18.181818181818183,29,27
IND,0,100,2.6666666666666665,19.22222222222222,18.65217391304348,20,1
MIN,0,123,2.888888888888889,20.33333333333333,18.70833333333333,33,21
ATL,0,79,2.888888888888889,21.88888888888889,19.28,7,7
BOS,0,93,2.4444444444444446,20.0,18.807692307692307,18,18
UTA,1,107,2.111111111111111,19.55555555555556,18.77777777777778,4,12
NOP,1,102,1.8888888888888888,18.33333333333333,18.25,14,26
OKC,1,100,2.0,17.333333333333332,18.103448275862068,23,23
PHX,0,88,2.111111111111111,17.444444444444443,18.266666666666666,12,4
DEN,1,116,2.2222222222222223,17.77777777777778,18.06451612903226,13,11
PHX,0,92,2.0,16.0,17.90625,15,4
CHI,1,101,1.5555555555555556,15.444444444444445,17.818181818181817,23,5
MIL,1,100,1.2222222222222223,14.333333333333334,17.970588235294116,16,2
UTA,1,96,1.4444444444444444,15.333333333333334,17.914285714285715,27,12
CHA,0,113,1.6666666666666667,16.333333333333332,18.166666666666668,27,25
NOP,0,103,2.111111111111111,18.88888888888889,18.405405405405407,20,26
SAS,0,102,1.8888888888888888,19.55555555555556,18.44736842105263,14,6
LAC,0,109,1.8888888888888888,18.55555555555556,18.33333333333333,32,15
SAC,1,119,2.0,20.77777777777778,18.675,34,8
IND,1,110,2.2222222222222223,23.11111111111111,19.04878048780488,11,1
BKN,1,109,2.2222222222222223,22.666666666666668,18.857142857142858,13,19
LAC,1,122,2.2222222222222223,21.55555555555556,18.72093023255814,23,15
LAL,0,110,2.555555555555556,22.33333333333333,18.818181818181817,15,3
LAC,0,91,2.333333333333333,21.0,18.73333333333333,8,15
CLE,1,116,1.8888888888888888,18.88888888888889,18.5,15,17
NOP,1,110,2.111111111111111,18.33333333333333,18.425531914893615,21,26
ORL,0,90,2.0,19.11111111111111,18.479166666666668,15,20
